,ID2,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,MAR,Eref,CMD,RH,CMI,DD1040
"125",68571073,49.1434833333,-123.9441966667,-9999,9.4,17.3,2.5,14.8,1110,195,17.4,88.4,124,1944,3227,82,291,100,307,206,57,-17.7,34.9,11.6,649,273,74,59.93,862
"126",68579641,49.3167686461,-122.9893341064,-9999,9.7,17.4,2.5,15,1830,386,10.8,45.1,118,2043,3116,92,298,90,313,223,80,-17.6,34.7,11.7,636,112,75,131.7,916
"127",68579840,49.3151702881,-122.9834060667,-9999,9.7,17.4,2.5,15,1842,389,10.7,44.8,118,2039,3121,91,298,90,313,223,81,-17.6,34.7,11.7,636,111,75,132.92,913
"128",68579958,49.3361167906,-123.1038208006,-9999,9.6,17.3,2.5,14.8,1767,369,11.1,46.8,117,2013,3136,86,299,89,313,224,77,-17.5,34.4,11.5,626,116,76,126.4,894
"129",68580031,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"130",68580064,49.3348503111,-123.1087951658,-9999,9.7,17.4,2.6,14.7,1729,360,11.4,48.3,114,2047,3098,90,301,87,314,226,72,-17.2,34.5,11.5,629,121,76,122.2,913
"131",68580097,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
"132",68580149,49.3354492186,-123.1105957031,-9999,9.7,17.4,2.6,14.7,1735,361,11.4,48.1,114,2046,3099,90,301,87,314,226,72,-17.2,34.5,11.5,628,121,76,122.9,913
"133",68580268,49.3347854614,-123.1087722778,-9999,9.7,17.4,2.6,14.7,1728,360,11.4,48.3,113,2048,3097,90,301,87,314,226,71,-17.2,34.5,11.5,629,121,76,122.07,914
"134",68615753,48.78845078,-123.25926273,-9999,9.9,16.9,3.6,13.3,829,162,24,104.3,92,2034,3022,73,309,85,316,230,27,-15.5,34.8,11.4,659,321,74,30.01,868
"135",68615871,48.78860374,-123.25902646,-9999,9.9,16.9,3.6,13.3,829,162,24,104.3,92,2035,3022,73,309,85,316,230,27,-15.5,34.8,11.4,659,321,74,30.01,868
"136",68622048,49.3167648314,-122.9522476194,-9999,9.5,17.3,2.3,15,1948,410,10,42.3,123,2001,3166,86,296,91,312,220,91,-17.9,34.6,11.7,632,100,75,143.96,892
"137",68622120,49.3166275022,-122.9518203733,-9999,9.6,17.3,2.3,15,1946,409,10,42.3,123,2003,3164,86,296,91,312,220,91,-17.9,34.6,11.7,633,100,75,143.67,893
